split,image_stem,parsed_id,source_image_path,expected_label_path,original_record_status,split_eligibility,object_count,class_ids_present
train,uniform_20260606_141558_819_id000080_portrait,80,/content/drive/MyDrive/DATN2/dataset_images/uniform_20260606_141558_819_id000080_portrait.jpg,/content/drive/MyDrive/DATN2/labels/all/uniform_20260606_141558_819_id000080_portrait.txt,valid_positive,eligible_for_train_and_val,3,"[0, 2, 3]"
train,uniform_20260606_141600_543_id000082_portrait,82,/content/drive/MyDrive/DATN2/dataset_images/uniform_20260606_141600_543_id000082_portrait.jpg,/content/drive/MyDrive/DATN2/labels/all/uniform_20260606_141600_543_id000082_portrait.txt,valid_positive,eligible_for_train_and_val,3,"[0, 2, 3]"
train,uniform_20260606_141601_614_id000083_portrait,83,/content/drive/MyDrive/DATN2/dataset_images/uniform_20260606_141601_614_id000083_portrait.jpg,/content/drive/MyDrive/DATN2/labels/all/uniform_20260606_141601_614_id000083_portrait.txt,valid_positive,eligible_for_train_and_val,3,"[0, 2, 3]"
train,uniform_20260606_141602_608_id000084_portrait,84,/content/drive/MyDrive/DATN2/dataset_images/uniform_20260606_141602_608_id000084_portrait.jpg,/content/drive/MyDrive/DATN2/labels/all/uniform_20260606_141602_608_id000084_portrait.txt,valid_positive,eligible_for_train_and_val,3,"[0, 2, 3]"
train,uniform_20260606_141603_616_id000085_portrait,85,/content/drive/MyDrive/DATN2/dataset_images/uniform_20260606_141603_616_id000085_portrait.jpg,/content/drive/MyDrive/DATN2/labels/all/uniform_20260606_141603_616_id000085_portrait.txt,valid_positive,eligible_for_train_and_val,3,"[0, 2, 3]"
train,uniform_20260606_141604_646_id000086_portrait,86,/content/drive/MyDrive/DATN2/dataset_images/uniform_20260606_141604_646_id000086_portrait.jpg,/content/drive/MyDrive/DATN2/labels/all/uniform_20260606_141604_646_id000086_portrait.txt,valid_positive,eligible_for_train_and_val,3,"[0, 2, 3]"
train,uniform_20260606_141605_621_id000087_portrait,87,/content/drive/MyDrive/DATN2/dataset_images/uniform_20260606_141605_621_id000087_portrait.jpg,/content/drive/MyDrive/DATN2/labels/all/uniform_20260606_141605_621_id000087_portrait.txt,valid_positive,eligible_for_train_and_val,3,"[0, 2, 3]"
train,uniform_20260606_141606_661_id000088_portrait,88,/content/drive/MyDrive/DATN2/dataset_images/uniform_20260606_141606_661_id000088_portrait.jpg,/content/drive/MyDrive/DATN2/labels/all/uniform_20260606_141606_661_id000088_portrait.txt,valid_positive,eligible_for_train_and_val,3,"[0, 2, 3]"
train,uniform_20260606_141607_598_id000089_portrait,89,/content/drive/MyDrive/DATN2/dataset_images/uniform_20260606_141607_598_id000089_portrait.jpg,/content/drive/MyDrive/DATN2/labels/all/uniform_20260606_141607_598_id000089_portrait.txt,valid_positive,eligible_for_train_and_val,3,"[0, 2, 3]"
train,uniform_20260606_141608_621_id000090_portrait,90,/content/drive/MyDrive/DATN2/dataset_images/uniform_20260606_141608_621_id000090_portrait.jpg,/content/drive/MyDrive/DATN2/labels/all/uniform_20260606_141608_621_id000090_portrait.txt,valid_positive,eligible_for_train_and_val,3,"[0, 2, 3]"
train,uniform_20260606_141609_646_id000091_portrait,91,/content/drive/MyDrive/DATN2/dataset_images/uniform_20260606_141609_646_id000091_portrait.jpg,/content/drive/MyDrive/DATN2/labels/all/uniform_20260606_141609_646_id000091_portrait.txt,valid_positive,eligible_for_train_and_val,3,"[0, 2, 3]"
train,uniform_20260606_141610_611_id000092_portrait,92,/content/drive/MyDrive/DATN2/dataset_images/uniform_20260606_141610_611_id000092_portrait.jpg,/content/drive/MyDrive/DATN2/labels/all/uniform_20260606_141610_611_id000092_portrait.txt,valid_positive,eligible_for_train_and_val,3,"[0, 2, 3]"
train,uniform_20260606_141611_659_id000093_portrait,93,/content/drive/MyDrive/DATN2/dataset_images/uniform_20260606_141611_659_id000093_portrait.jpg,/content/drive/MyDrive/DATN2/labels/all/uniform_20260606_141611_659_id000093_portrait.txt,valid_positive,eligible_for_train_and_val,3,"[0, 2, 3]"
train,uniform_20260606_141612_572_id000094_portrait,94,/content/drive/MyDrive/DATN2/dataset_images/uniform_20260606_141612_572_id000094_portrait.jpg,/content/drive/MyDrive/DATN2/labels/all/uniform_20260606_141612_572_id000094_portrait.txt,valid_positive,eligible_for_train_and_val,3,"[0, 2, 3]"
train,uniform_20260606_141613_590_id000095_portrait,95,/content/drive/MyDrive/DATN2/dataset_images/uniform_20260606_141613_590_id000095_portrait.jpg,/content/drive/MyDrive/DATN2/labels/all/uniform_20260606_141613_590_id000095_portrait.txt,valid_positive,eligible_for_train_and_val,3,"[0, 2, 3]"
train,uniform_20260606_141614_609_id000096_portrait,96,/content/drive/MyDrive/DATN2/dataset_images/uniform_20260606_141614_609_id000096_portrait.jpg,/content/drive/MyDrive/DATN2/labels/all/uniform_20260606_141614_609_id000096_portrait.txt,valid_positive,eligible_for_train_and_val,3,"[0, 2, 3]"
train,uniform_20260606_141615_668_id000097_portrait,97,/content/drive/MyDrive/DATN2/dataset_images/uniform_20260606_141615_668_id000097_portrait.jpg,/content/drive/MyDrive/DATN2/labels/all/uniform_20260606_141615_668_id000097_portrait.txt,valid_positive,eligible_for_train_and_val,3,"[0, 2, 3]"
train,uniform_20260606_141616_700_id000098_portrait,98,/content/drive/MyDrive/DATN2/dataset_images/uniform_20260606_141616_700_id000098_portrait.jpg,/content/drive/MyDrive/DATN2/labels/all/uniform_20260606_141616_700_id000098_portrait.txt,valid_positive,eligible_for_train_and_val,3,"[0, 2, 3]"
train,uniform_20260606_141618_686_id000100_portrait,100,/content/drive/MyDrive/DATN2/dataset_images/uniform_20260606_141618_686_id000100_portrait.jpg,/content/drive/MyDrive/DATN2/labels/all/uniform_20260606_141618_686_id000100_portrait.txt,valid_positive,eligible_for_train_and_val,3,"[0, 2, 3]"
train,uniform_20260606_141619_686_id000101_portrait,101,/content/drive/MyDrive/DATN2/dataset_images/uniform_20260606_141619_686_id000101_portrait.jpg,/content/drive/MyDrive/DATN2/labels/all/uniform_20260606_141619_686_id000101_portrait.txt,valid_positive,eligible_for_train_and_val,3,"[0, 2, 3]"
train,uniform_20260606_141620_792_id000102_portrait,102,/content/drive/MyDrive/DATN2/dataset_images/uniform_20260606_141620_792_id000102_portrait.jpg,/content/drive/MyDrive/DATN2/labels/all/uniform_20260606_141620_792_id000102_portrait.txt,valid_positive,eligible_for_train_and_val,3,"[0, 2, 3]"
train,uniform_20260606_141621_706_id000103_portrait,103,/content/drive/MyDrive/DATN2/dataset_images/uniform_20260606_141621_706_id000103_portrait.jpg,/content/drive/MyDrive/DATN2/labels/all/uniform_20260606_141621_706_id000103_portrait.txt,valid_positive,eligible_for_train_and_val,3,"[0, 2, 3]"
train,uniform_20260606_141622_638_id000104_portrait,104,/content/drive/MyDrive/DATN2/dataset_images/uniform_20260606_141622_638_id000104_portrait.jpg,/content/drive/MyDrive/DATN2/labels/all/uniform_20260606_141622_638_id000104_portrait.txt,valid_positive,eligible_for_train_and_val,3,"[0, 2, 3]"
train,uniform_20260606_141623_659_id000105_portrait,105,/content/drive/MyDrive/DATN2/dataset_images/uniform_20260606_141623_659_id000105_portrait.jpg,/content/drive/MyDrive/DATN2/labels/all/uniform_20260606_141623_659_id000105_portrait.txt,valid_positive,eligible_for_train_and_val,3,"[0, 2, 3]"
train,uniform_20260606_141624_649_id000106_portrait,106,/content/drive/MyDrive/DATN2/dataset_images/uniform_20260606_141624_649_id000106_portrait.jpg,/content/drive/MyDrive/DATN2/labels/all/uniform_20260606_141624_649_id000106_portrait.txt,valid_positive,eligible_for_train_and_val,3,"[0, 2, 3]"
train,uniform_20260606_141625_635_id000107_portrait,107,/content/drive/MyDrive/DATN2/dataset_images/uniform_20260606_141625_635_id000107_portrait.jpg,/content/drive/MyDrive/DATN2/labels/all/uniform_20260606_141625_635_id000107_portrait.txt,valid_positive,eligible_for_train_and_val,3,"[0, 2, 3]"
train,uniform_20260606_141626_631_id000108_portrait,108,/content/drive/MyDrive/DATN2/dataset_images/uniform_20260606_141626_631_id000108_portrait.jpg,/content/drive/MyDrive/DATN2/labels/all/uniform_20260606_141626_631_id000108_portrait.txt,valid_positive,eligible_for_train_and_val,3,"[0, 2, 3]"
train,uniform_20260606_141627_634_id000109_portrait,109,/content/drive/MyDrive/DATN2/dataset_images/uniform_20260606_141627_634_id000109_portrait.jpg,/content/drive/MyDrive/DATN2/labels/all/uniform_20260606_141627_634_id000109_portrait.txt,valid_positive,eligible_for_train_and_val,3,"[0, 2, 3]"
train,uniform_20260606_141628_609_id000110_portrait,110,/content/drive/MyDrive/DATN2/dataset_images/uniform_20260606_141628_609_id000110_portrait.jpg,/content/drive/MyDrive/DATN2/labels/all/uniform_20260606_141628_609_id000110_portrait.txt,valid_positive,eligible_for_train_and_val,3,"[0, 2, 3]"
train,uniform_20260606_141629_634_id000111_portrait,111,/content/drive/MyDrive/DATN2/dataset_images/uniform_20260606_141629_634_id000111_portrait.jpg,/content/drive/MyDrive/DATN2/labels/all/uniform_20260606_141629_634_id000111_portrait.txt,valid_positive,eligible_for_train_and_val,3,"[0, 2, 3]"
train,uniform_20260606_141630_653_id000112_portrait,112,/content/drive/MyDrive/DATN2/dataset_images/uniform_20260606_141630_653_id000112_portrait.jpg,/content/drive/MyDrive/DATN2/labels/all/uniform_20260606_141630_653_id000112_portrait.txt,valid_positive,eligible_for_train_and_val,3,"[0, 2, 3]"
train,uniform_20260606_141631_657_id000113_portrait,113,/content/drive/MyDrive/DATN2/dataset_images/uniform_20260606_141631_657_id000113_portrait.jpg,/content/drive/MyDrive/DATN2/labels/all/uniform_20260606_141631_657_id000113_portrait.txt,valid_positive,eligible_for_train_and_val,3,"[0, 2, 3]"
train,uniform_20260606_141632_621_id000114_portrait,114,/content/drive/MyDrive/DATN2/dataset_images/uniform_20260606_141632_621_id000114_portrait.jpg,/content/drive/MyDrive/DATN2/labels/all/uniform_20260606_141632_621_id000114_portrait.txt,valid_positive,eligible_for_train_and_val,3,"[0, 2, 3]"
train,uniform_20260606_141633_654_id000115_portrait,115,/content/drive/MyDrive/DATN2/dataset_images/uniform_20260606_141633_654_id000115_portrait.jpg,/content/drive/MyDrive/DATN2/labels/all/uniform_20260606_141633_654_id000115_portrait.txt,valid_positive,eligible_for_train_and_val,3,"[0, 2, 3]"
train,uniform_20260606_141634_638_id000116_portrait,116,/content/drive/MyDrive/DATN2/dataset_images/uniform_20260606_141634_638_id000116_portrait.jpg,/content/drive/MyDrive/DATN2/labels/all/uniform_20260606_141634_638_id000116_portrait.txt,valid_positive,eligible_for_train_and_val,3,"[0, 2, 3]"
